Ciqual AGB,Nom Français,Groupe d'aliment,Sous-groupe d'aliment,Ingredients,Code et Nom,Groupe,Sous-groupe,Score unique EF3.1 (mPt/kg),Changement climatique (kg CO2 eq/kg),Appauvrissement de la couche d'ozone (kg CFC11 eq/kg),Rayonnements ionisants (kBq U-235 eq/kg),Formation photochimique d’ozone (kg NMVOC eq/kg),Particules (disease inc./kg),Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg),Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation eaux douces (kg P eq/kg),Eutrophisation marine (kg N eq/kg),Eutrophisation terrestre (mol N eq/kg),Écotoxicité pour écosystèmes aquatiques d’eau douce (CTUe/kg),Utilisation du sol (Pt/kg),Épuisement des ressources en eau (m³ depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources en minéraux (kg Sb eq/kg),Changement climatique - émissions biogéniques (kg CO2 eq/kg),Changement climatique - émissions fossiles (kg CO2 eq/kg),Changement climatique - émissions liées au changement d’affectation des sols (kg CO2 eq/kg)
11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,Carotte,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,0.0308281999999999,0.16988868,5.6293623e-09,0.03540108,0.00058180481,1.4016298e-08,9.0670817e-09,1.9129272e-10,0.0016154554,4.3263683e-05,0.0013490305,0.0044656018,20.2531587,9.8758033,0.41367722,2.3945164,1.5657477e-06,0.019834218,0.14993524,0.00011921823
11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,Poireau,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,0.045508759,0.31111479,1.4213376e-08,0.06538389,0.0010698492,2.2960173e-08,4.2487227e-08,3.976138e-10,0.0030218879,4.2307103e-05,0.00179564,0.011462574,13.2682923,8.7723941,0.33189743,4.0090959,2.191346e-06,0.041771494,0.26920684,0.00013644876
11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,Oignons,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,0.0294424659999999,0.16877446,5.145352e-09,0.035444786,0.00072736384,1.4554535e-08,5.48671e-09,1.9900596e-10,0.0017116841,4.452217e-05,0.0020538832,0.0062016574,4.2897813,16.510402,0.72862673,2.2709599,1.4962524e-06,0.016757593,0.14805171,0.0039651564
11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,Autres étapes,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,1.76686311,6.9297492,2.6810702e-07,30.1110436,0.022605159,4.2184201e-07,1.51173951e-07,5.7915630999999995e-09,0.039213706,0.00147884679,0.0215774719,0.114898573,32.332929199999995,71.133803,1.803538,691.34457,4.6152352e-05,0.0253240876,6.8874527,0.0169724022
11172,"Court-bouillon pour poissons, déshydraté",aides culinaires et ingrédients divers,aides culinaires,Total,"Court-bouillon pour poissons, déshydraté (11172)",aides culinaires et ingrédients divers,aides culinaires,1.872642535,7.57952713,2.930951103e-07,30.247273356,0.0249841768499999,4.7337301600000004e-07,2.082149697e-07,6.5794755799999994e-09,0.0455627334,0.001608939746,0.0267760256,0.1370284062,70.1441615,106.2924024,3.27773938,700.0191422,5.140569810000001e-05,0.1036873926,7.45464649,0.02119322559
25525,"Pizza, sauce garniture pour",aides culinaires et ingrédients divers,aides culinaires,Huile d'olive,"Pizza, sauce garniture pour (25525)",aides culinaires et ingrédients divers,aides culinaires,0.046601615,0.067128348,3.6587081e-09,0.0084815757,0.00098623835,2.668668e-08,2.05883e-08,1.9757698e-10,0.0037430169,5.1093177e-05,0.0017390486,0.01574783,5.66746784,54.22583,1.9401993,1.706373,1.2720893e-06,0.010516055,0.1669106,-0.11029831
25525,"Pizza, sauce garniture pour",aides culinaires et ingrédients divers,aides culinaires,Oignons,"Pizza, sauce garniture pour (25525)",aides culinaires et ingrédients divers,aides culinaires,0.0018077483,0.010362643,3.1592128e-10,0.0021762869,4.4659669e-05,8.9363904e-10,3.3688044e-10,1.2218837e-11,0.0001050963,2.7336324e-06,0.0001261071,0.00038077775,0.2633898,1.013728,0.044737209,0.13943547,9.1868927e-08,0.0010289054,0.0090902794,0.00024345803
25525,"Pizza, sauce garniture pour",aides culinaires et ingrédients divers,aides culinaires,Tomate,"Pizza, sauce garniture pour (25525)",aides culinaires et ingrédients divers,aides culinaires,0.030955125,0.26624835,7.6244242e-09,0.038008972,0.0010301743,1.692924e-08,1.2522963e-08,3.3356822e-10,0.0018869758,3.5390759e-05,0.0010065546,0.0068502671,2.23504417,3.3393315,0.31050404,4.3356561,2.105594e-06,0.0062084016,0.25978693,0.00025301468
25525,"Pizza, sauce garniture pour",aides culinaires et ingrédients divers,aides culinaires,Autres étapes,"Pizza, sauce garniture pour (25525)",aides culinaires et ingrédients divers,aides culinaires,0.068943115,0.59657835,1.54363657e-08,0.509367019,0.00186681566,3.41240556e-08,8.9336336e-09,3.38114495e-10,0.0023139564,0.000103975766,0.00128979615,0.0072830829999999,2.86082325,9.0941495,0.172655086,18.222518,2.44380982e-06,0.0158724287199999,0.57922941,0.001476501642
25525,"Pizza, sauce garniture pour",aides culinaires et ingrédients divers,aides culinaires,Total,"Pizza, sauce garniture pour (25525)",aides culinaires et ingrédients divers,aides culinaires,0.1483076033,0.940317691,2.703541928e-08,0.5580338536,0.003927887979,7.863361464000002e-08,4.238177704e-08,8.81478532e-10,0.0080490454,0.0001931933344,0.00416150645,0.0302619578499999,11.02672506,67.673039,2.468095635,24.40398257,5.913362047e-06,0.03362579072,1.0150172194,-0.108325335648
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Cassonade,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.0052270043,0.014352415,1.1916946e-09,0.00020260423,8.5728446e-05,1.6743334e-09,3.2083758e-09,2.3809951e-10,0.00022390131,4.2977142e-06,0.00010594137,0.00095956342,5.627778750000001,1.4391119,0.10626458,0.093013795,6.6998821e-08,0.00082705476,0.0092175995,0.0043077607
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Lécithine de soja,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.0060606090999999,0.069691014,5.3302118e-10,0.0013085539,0.00030340045,1.9756537e-09,1.3956831e-09,5.8454967e-11,0.00026899665,4.7467946e-06,0.00041660818,0.00092164432,3.9241006,0.70527801,0.0045307021,0.2778551,1.5517077e-07,1.461719e-05,0.027961992,0.041714406
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Boisson à base de soja,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.0121718919999999,0.13884614,2.840479e-09,0.010199142,0.00044736377,4.388712e-09,1.1815901e-09,8.2047551e-11,0.00053796052,2.2646969e-05,0.00065037392,0.0016124985,3.1395102,12.351256,0.017933944,1.3518362,2.3671948e-07,0.00028826887,0.10446908,0.034088797
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Huile de tournesol,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.0552669119999999,0.35442213,1.3821774e-08,0.023948093,0.0013207633,2.2027851e-08,1.1854087e-08,1.4244591e-09,0.0029783928,0.00022174912,0.0047700817,0.013655584,15.2821893,92.901319,0.11947389,2.4809133,1.0591709e-06,0.0081776127,0.24348366,0.10276086
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Autres étapes,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.068966592,0.5966559,1.5438727299999998e-08,0.509432269,0.0018672387399999,3.41321263e-08,8.941583400000001e-09,3.38782091e-10,0.0023143666,0.000104000435,0.0012899061,0.0072841869,2.86143856,9.0944148,0.174257137,18.224701,2.44436992e-06,0.0158725296499999,0.5793068100000001,0.001476555829
11214,"Préparation culinaire à base de soja, type ""crème de soja""",aides culinaires et ingrédients divers,aides culinaires,Total,"Préparation culinaire à base de soja, type ""crème de soja"" (11214)",aides culinaires et ingrédients divers,aides culinaires,0.1476930094,1.173967599,3.382569608e-08,0.54509066213,0.004024494706,6.41986764e-08,2.65813194e-08,2.1418432190000003e-09,0.00632361788,0.0003574410328,0.00723291127,0.02443347714,30.835017410000003,116.49137971,0.4224602531,22.428319395,3.9624298910000005e-06,0.02518008317,0.9644391415,0.184348379529
11013,Moutarde,aides culinaires et ingrédients divers,condiments,Graines de moutarde,Moutarde (11013),aides culinaires et ingrédients divers,condiments,0.10411732,0.39160536,3.3632342e-09,0.010188116,0.002832399,1.1901304e-07,2.3990771e-08,3.1643126e-10,0.018096645,0.00010244917,0.0081001687,0.078608141,2.27318054,95.00409,0.11677476,3.3113705,1.8601925e-06,0.00022358667,0.38758943,0.0037923428
11013,Moutarde,aides culinaires et ingrédients divers,condiments,Sel,Moutarde (11013),aides culinaires et ingrédients divers,condiments,0.0027179733,0.021123803,2.2377938e-10,0.0020534855,9.1043231e-05,1.4862611e-09,6.5295693e-10,2.1012852e-11,0.00014885406,1.127295e-05,3.2145621e-05,0.00030558545,0.22212869,0.13962997,0.00026028565,0.25359411,6.4407308e-07,5.5568575e-05,0.021031708,3.6525953e-05
11013,Moutarde,aides culinaires et ingrédients divers,condiments,Vinaigre,Moutarde (11013),aides culinaires et ingrédients divers,condiments,0.0077272608,0.056332755,1.022346e-09,0.001853937,0.00021384299,7.7959387e-09,6.7251339e-10,2.6873156e-11,0.00084151958,9.4422344e-06,0.0002617006,0.0034888032,0.66781265,1.7216624,0.10478115,0.69458888,2.4366496e-07,0.00010281831,0.05618843,4.1506842e-05
11013,Moutarde,aides culinaires et ingrédients divers,condiments,Autres étapes,Moutarde (11013),aides culinaires et ingrédients divers,condiments,0.110557484,1.12310076,7.67700669e-08,0.61295588,0.00416297426,6.21274876e-08,1.28323761e-08,3.82417165e-10,0.0050964591,0.000106990038,0.00196428449,0.0129049803,10.56084615,8.388397399999999,0.207470886,25.683873,2.79122973e-06,0.00977095162,1.11307303,0.0002567749519999
11013,Moutarde,aides culinaires et ingrédients divers,condiments,Total,Moutarde (11013),aides culinaires et ingrédients divers,condiments,0.2251200380999999,1.592162678,8.137942648e-08,0.6270514185,0.007300259481,1.904227274e-07,3.814861742e-08,7.46734433e-10,0.02418347774,0.0002301543924,0.010358299411,0.09530750995,13.72396803,105.25377977,0.4292870816499999,29.94342649,5.53916027e-06,0.0101529251749999,1.577882598,0.0041271505469999
11021,Moutarde à l'ancienne,aides culinaires et ingrédients divers,condiments,Graines de moutarde,Moutarde à l'ancienne (11021),aides culinaires et ingrédients divers,condiments,0.10411732,0.39160536,3.3632342e-09,0.010188116,0.002832399,1.1901304e-07,2.3990771e-08,3.1643126e-10,0.018096645,0.00010244917,0.0081001687,0.078608141,2.27318054,95.00409,0.11677476,3.3113705,1.8601925e-06,0.00022358667,0.38758943,0.0037923428
11021,Moutarde à l'ancienne,aides culinaires et ingrédients divers,condiments,Sel,Moutarde à l'ancienne (11021),aides culinaires et ingrédients divers,condiments,0.0027179733,0.021123803,2.2377938e-10,0.0020534855,9.1043231e-05,1.4862611e-09,6.5295693e-10,2.1012852e-11,0.00014885406,1.127295e-05,3.2145621e-05,0.00030558545,0.22212869,0.13962997,0.00026028565,0.25359411,6.4407308e-07,5.5568575e-05,0.021031708,3.6525953e-05
11021,Moutarde à l'ancienne,aides culinaires et ingrédients divers,condiments,Vinaigre,Moutarde à l'ancienne (11021),aides culinaires et ingrédients divers,condiments,0.0077272608,0.056332755,1.022346e-09,0.001853937,0.00021384299,7.7959387e-09,6.7251339e-10,2.6873156e-11,0.00084151958,9.4422344e-06,0.0002617006,0.0034888032,0.66781265,1.7216624,0.10478115,0.69458888,2.4366496e-07,0.00010281831,0.05618843,4.1506842e-05
11021,Moutarde à l'ancienne,aides culinaires et ingrédients divers,condiments,Autres étapes,Moutarde à l'ancienne (11021),aides culinaires et ingrédients divers,condiments,0.110557484,1.12310076,7.67700669e-08,0.61295588,0.00416297426,6.21274876e-08,1.28323761e-08,3.82417165e-10,0.0050964591,0.000106990038,0.00196428449,0.0129049803,10.56084615,8.388397399999999,0.207470886,25.683873,2.79122973e-06,0.00977095162,1.11307303,0.0002567749519999
11021,Moutarde à l'ancienne,aides culinaires et ingrédients divers,condiments,Total,Moutarde à l'ancienne (11021),aides culinaires et ingrédients divers,condiments,0.2251200380999999,1.592162678,8.137942648e-08,0.6270514185,0.007300259481,1.904227274e-07,3.814861742e-08,7.46734433e-10,0.02418347774,0.0002301543924,0.010358299411,0.09530750995,13.72396803,105.25377977,0.4292870816499999,29.94342649,5.53916027e-06,0.0101529251749999,1.577882598,0.0041271505469999
