Nom du Produit en Français,Type de production,Catégorie,Score unique EF3.1 (mPt/kg),Changement climatique (kg CO2 eq/kg),Appauvrissement de la couche d'ozone (kg CFC11 eq/kg),Rayonnements ionisants (kBq U-235 eq/kg),Formation photochimique d'ozone (kg NMVOC eq/kg),Particules (disease inc./kg),Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg),Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation eaux douces (kg P eq/kg),Eutrophisation marine (kg N eq/kg),Eutrophisation terreste (mol N eq/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Utilisation du sol (Pt/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (kg Sb eq/kg),Changement climatique - émissions biogéniques (kg CO2 eq/kg),Changement climatique - émissions fossiles (kg CO2 eq/kg),Changement climatique - émissions liées au changement d'affectation des sols (kg CO2 eq/kg)
"Abricot, conventionnel, moyenne nationale, au verger, France",Culture,Agricultural\Plant production\Fruits\Transformation,0.1003435699999999,0.2501659,4.1355305e-09,0.048497323,0.00045016069,9.4935133e-09,1.1071839e-08,2.2536347e-10,0.00087381272,8.7995293e-05,0.021865824,0.0043976622,9.1832483,349.43667,1.3076876,2.4443178,2.2151548e-06,0.0028400584,0.24724919,7.6655116e-05
"Agneau système de production conventionnel en intérieur, à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,1.9856254,16.27978,7.2197786e-08,0.32922006,0.026482343,2.3242601e-06,3.0182677e-07,8.0278604e-09,0.34217637,0.00077523412,0.064474518,1.5208072,82.48711399999999,1773.3846,2.7199933,30.32025,1.9394663e-05,10.911549,5.1414292,0.22680228
"Agneau, conventionnel, système Roquefort, à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,0.62785443,4.6873498,1.8443526e-08,0.20950848,0.0054939537,8.0467227e-07,5.5103601e-08,1.8962145e-09,0.11665032,0.00023062219,0.02153316,0.51764076,17.2774945,521.4066,0.27022839,12.159355,6.3553003e-06,2.8810066,1.7455435,0.060799642
"Algue production non optimisée, 1 kg d'algues (Laminaria), poids frais, France",Aquaculture,Agricultural\Plant production\Other\Transformation,0.12247905,0.86620472,1.0532802e-07,0.1598571,0.0056131153,1.2412352e-07,1.1274127e-08,8.9053365e-10,0.017132767,0.00026034008,0.0016630246,0.016265381,7.953527899999999,2.5323882,0.46385582,15.113294,1.0985935e-05,0.0029410367,0.86243639,0.00082729562
"Algue production optimisée, 1 kg d'algues (Laminaria), poids frais, France",Aquaculture,Agricultural\Plant production\Other\Transformation,0.011675525,0.10356704,2.8491848e-09,0.023210133,0.00074452272,8.8500266e-09,6.9311841e-10,1.2960371e-10,0.00098647192,2.0444087e-05,0.00025302572,0.0024310569,0.36547896,0.24311453,0.053450563,2.1055645,3.8569718e-07,0.0004368678,0.10308973,4.0439833e-05
"Ananas, production mixte, à la ferme, île de la Réunion",Culture,Agricultural\Plant production\Fruits\Transformation,0.12143745,1.3367536,4.9812729e-09,0.022489059,0.0018617888,1.7244292e-07,2.4793599e-09,1.0777369e-10,0.01215407,2.3584724e-05,0.0066997408,0.096634422,3.32777227,26.017306,0.18288697,3.1461735,1.5528309e-06,0.41579998,0.92086952,8.4044733e-05
"Anchois européenne, Engraulis encrasicolus, atlantique centre est, senne, au débarquement, Maroc",Pêche,Agricultural\Animal production\Fish\Transformation,0.091813325,0.48485714,1.0283864e-08,0.0043683591,0.01066826,1.1206559e-07,4.3129604e-09,3.106012e-10,0.014628451,3.1425885e-05,0.0035723973,0.038825756,3.2004459,1.1254458,0.023421662,6.2937233,6.7702367e-06,0.0001050839,0.48399559,0.00075647068
"Avoine, moyenne nationale, alimentation animale, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.079602399,0.55512354,6.653186e-09,0.0086291617,0.0017374887,5.5130877e-08,1.4805134e-08,1.0422817e-09,0.0087047911,0.00017285429,0.007073108,0.038715775,7.9976134,106.18051,0.12413737,2.2993856,1.5671997e-06,9.2248565e-05,0.43045332,0.12457798
"Banane conventionnelle, à la ferme, Antilles",Culture,Agricultural\Plant production\Fruits\Transformation,0.040168779,0.17837742,3.2396754e-09,0.015778248,0.00084751563,4.8855726e-08,2.9137793e-09,5.7746234e-11,0.0069840975,1.9083297e-05,0.0004369033,0.030403158,9.7769634,17.122587,0.30748788,2.012917,9.9221455e-07,0.00022585405,0.17807244,7.9133291e-05
"Bar ou daurade, 200-500g, conventionnel, en cage, à la ferme, France",Aquaculture,Agricultural\Animal production\Fish\Transformation,0.73690534,4.5371811,5.831633e-07,0.5450682,0.022399278,2.6888661e-07,1.0491257e-07,1.5120436e-09,0.024255733,0.00031741251,0.23110825,0.088419482,52.811012,74.875351,1.0273173,62.854979,4.4951729e-06,0.044196397,4.1400656,0.35291907
