Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins
Output;Abondance cheese, from cow's milk, consumption mix {FR} U;Abondance cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Abondance cheese, from cow's milk, consumption mix {FR} U;Abondance cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Abondance cheese (PGi) {FR} U;1.0;kg;
Output;Agave tequilana, consumption mix {MX} U;Agave tequilana, consumption mix {MX} U;1.25;kg;
Input;Agave tequilana, consumption mix {MX} U;Agave tequilana, at farm {MX} U;1.25;kg;For 1 kg of agave juice : include 1kg of juice (water + sugar content of agave) and 0,19 kg of fibers. (Yan, X. et al. (2011)) Assumption 5% loss
Output;Alaska pollock, consumption mix {FR} U;Alaska pollock, consumption mix {FR} U;1.0;kg;
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Alaska pollock, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, in oil, canned, consumption mix {FR} U;1.0;kg;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic Trawl, land frozen {FR};0.35;kg;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic trawl, on-board frozen, at landing {FR} U;0.35;kg;
Input;Albacore tuna, in oil, canned, consumption mix {FR} U;Albacore tuna, main product, NEA, Pelagic trawl, fresh, at landing {FR};0.3;kg;
Output;Albacore, consumption mix {FR} U;Albacore, consumption mix {FR} U;1.0;kg;
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Albacore, consumption mix {FR} U;Albacore, Thunnus alalunga, NEA, Pelagic trawl, average, at landing {FR} U;0.4;kg;
Output;Alfalfa seeds, consumption mix {FR} U;Alfalfa seeds, consumption mix {FR} U;1.0;kg;
Input;Alfalfa seeds, consumption mix {FR} U;Linseed {RoW}| linseed production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Almond, consumption mix {FR} U;Almond, consumption mix {FR} U;1.0;kg;
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0.141;kg;CN used as a substitute for DE
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0.493;kg;CN used as a substitute for ES
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0.0282;kg;CN used as a substitute for FR
Input;Almond, consumption mix {FR} U;Almonds, in shell, at farm {CN} - Adapted from WFLDB U;0.338;kg;CN used as a substitute for US
Output;Amaranth, consumption mix {FR} U;Amaranth, consumption mix {FR} U;1.0;kg;
Input;Amaranth, consumption mix {FR} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;American bass, consumption mix {FR} U;American bass, consumption mix {FR} U;1.0;kg;
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;EU process assumed to be the same as French
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;American bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.4;kg;
Output;American or Canadian sea scallop, consumption mix {FR} U;American or Canadian sea scallop, consumption mix {FR} U;1.0;kg;
Input;American or Canadian sea scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;American or Canadian sea scallop, consumption mix {FR} U;Great Scallop, Pecten maximus, BSBrieuc, Dredge, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
