CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
25608;Taboulé ou Salade de couscous, préemballé;Oui
25609;Salade de pomme de terre à la piémontaise, préemballée;Oui
25614;Salade de riz, appertisée;Oui
25615;Salade de pâtes, végétarienne;Oui
25616;Crudité, sans assaisonnement (aliment moyen);
25619;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;Oui
25626;Macédoine de légumes en salade, avec sauce, préemballée;
25628;Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;Oui
25629;Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;
26257;Carottes râpées, avec sauce, préemballées;Oui
26258;Salade de betterave, avec sauce, préemballée;
26259;Salade de chou ou Coleslaw, avec sauce, préemballée;Oui
26260;Salade de concombre à la crème/fromage blanc, préemballée;
26261;Salade de lentilles et saucisse fumée, préemballée;
26262;Salade grecque, avec sauce, préemballée;
26263;Salade de riz à la niçoise, avec sauce, préemballée;
26269;Taboulé ou Salade de couscous au poulet, préemballé;Oui
25900;Soupe aux lentilles, préemballée à réchauffer;Oui
25901;Soupe à la volaille et aux légumes, préemballée à réchauffer;Oui
25903;Soupe aux légumes variés, préemballée à réchauffer;Oui
25904;Soupe de poissons et / ou crustacés, préemballée à réchauffer;Oui
25905;Soupe aux légumes variés, déshydratée reconstituée;Oui
25907;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;Oui
25908;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;Oui
25909;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;
25910;Soupe à l'oignon, préemballée à réchauffer;Oui
25912;Soupe aux champignons, préemballée à réchauffer;Oui
25913;Soupe à la carotte, préemballée à réchauffer;Oui
25914;Soupe à la tomate, préemballée à réchauffer;Oui
25915;Soupe chorba frik, à base de viande et de frik;Oui
25916;Soupe minestrone, préemballée à réchauffer;Oui
25917;Soupe au pistou, déshydratée reconstituée;Oui
25919;Soupe de poissons et / ou crustacés, déshydratée reconstituée;Oui
25923;Soupe asiatique, avec pâtes, déshydratée reconstituée;Oui
25924;Soupe marocaine, déshydratée reconstituée;Oui
25925;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;Oui
25928;Soupe à la volaille et aux légumes, déshydratée reconstituée;Oui
25930;Bouillon de boeuf, déshydraté reconstitué;Oui
25932;Soupe aux asperges, déshydratée reconstituée;Oui
25933;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;Oui
25934;Soupe aux céréales et aux légumes, déshydratée reconstituée;Oui
25935;Soupe à la tomate, déshydratée reconstituée;Oui
25936;Soupe aux champignons, déshydratée reconstituée;Oui
25942;Soupe à l'oignon, déshydratée reconstituée;Oui
25945;Soupe au potiron, préemballée à réchauffer;Oui
25947;Bouillon de volaille, déshydraté reconstitué;Oui
25948;Bouillon de légumes, déshydraté reconstitué;Oui
25949;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;Oui
