ENG name;FR name;Existing data set - Dataset name;Existing data set - Database;Proxy proposal - Dataset name;Proxy proposal - Database;Quality of mapping - 1 very bad to 5 very good;Edible part (Inedible part = 1 - edible part)
Alaska pollock;Lieu ou colin d'Alaska;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;;;3;0.363
Albacore;Thon germon ou thon blanc;Albacore, NEA, Pelagic trawl, average, at landing/FR U;AGBL 1.4;;;5;0.599
American bass;Bar rayé ou bar d'Amérique;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;;;4;0.44
American or Canadian sea scallop;Pecten d'Amérique ou Peigne du canada, noix;;;Great Scallop, BSBrieuc, Dredge, average, at landing/FR U;AGBL 1.4;3;0.14300000000000002
Anchovy;Anchois ;European Anchovy, ECA, Seine, average, at landing/MA U;AGBL 1.4;;;5;0.5
Anglerfish;Lotte ou baudroie;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;2024-04-03 00:00:00;0.363
Arctic char;Omble chevalier;;;Small trout, 250-350g, conventional, at farm gate/FR U;AGBL 1.4;4;0.5
Atlantic bass;Bar ou loup de l'Atlantique;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;;;5;0.44
Atlantic chub mackerel;Maquereau espagnol ou maquereau blanc ou billard;Atlantic Mackerel, NEA, Pelagic Trawl, average, at landing/NL U;AGBL 1.4;;;5;0.521
Atlantic halibut;Flétan de l'Atlantique ou flétan blanc;;;Bluefin Tuna, MedSea, Longline, average, at landing/FR U;AGBL 1.4;2024-03-02 00:00:00;0.599
Atlantic herring;Hareng fumé, à l'huile;Atlantic Herring, NEA, Pelagic Trawl, average, at landing/NL U;AGBL 1.4;;;5;0.5
American or Canadian See scallop;Pecten d'Amérique ou Peigne du canada, noix, crue;;;Great Scallop, BSBrieuc, Dredge, average, at landing/FR U;AGBL 1.4;;0.14300000000000002
Bigeye scad;Coulirou;;;Atlantic Mackerel, NEA, Pelagic Trawl, average, at landing/NL U;AGBL 1.4;4;0.521
Big-scale sand smelt;Joëls (petits poissons entiers) pour fritures;;;European Pilchard, ECA, Seine, average, at landing/FR U;;3;0.5
Black seabream;Dorade grise, ou daurade grise, ou griset;;;Common Sole, BBiscay, Trammel Net, average, at landing/FR U;AGBL 1.4;4;0.41600000000000004
Blackspot seabream;Dorade rose, ou daurade rose;;;Common Sole, BBiscay, Trammel Net, average, at landing/FR U;AGBL 1.4;4;0.41600000000000004
Blue grenadier;Grenadier bleu ou hoki de Nouvelle-Zélande;;;Saithe, NorthSea, Bottom Trawl, average, frozen, at landing/FR U;AGBL 1.4;2024-03-02 00:00:00;0.4
Blue ling;Lingue bleue ou Lingue;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;;;4;0.363
Blue shark;Empereur, filet, sans peau;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;3;0.363
Bogue;Bogue;;;European Pilchard, ECA, Seine, average, at landing/FR U;AGBL 1.4;3;0.5
Bonito;Bonite;;;Albacore, NEA, Pelagic trawl, average, at landing/FR U;AGBL 1.4;4;0.599
Brown bullhead;Pangasius ou Poisson-chat;;;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;2024-03-02 00:00:00;0.44
Brown meagre;Corb;;;Bluefin Tuna, MedSea, Longline, average, at landing/FR U;AGBL 1.4;3;0.599
Capelin;Capelan;;;Albacore, NEA, Pelagic trawl, average, at landing/FR U;AGBL 1.4;3;0.599
Carp;Carpe, élevage;;;Large trout, 2-4kg, conventional, at farm gate/FR U;AGBL 1.4;3;0.5
Cod;Cabillaud;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;;;2024-05-04 00:00:00;0.363
Common dab;Limande;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;;;4;0.363
Common dentex;Denté;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;4;0.363
Common sole;Sole;Common Sole, BBiscay, Trammel Net, average, at landing/FR U;AGBL 1.4;;;2024-05-04 00:00:00;0.41600000000000004
Conger  ;Congre;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;;;4;0.363
Crevalle jack;Carangue;;;Bluefin Tuna, MedSea, Longline, average, at landing/FR U;AGBL 1.4;4;0.599
European bass;Bar commun ou loup;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;;;2024-05-04 00:00:00;0.44
European hake;Merlu;;;Saithe, NorthSea, Bottom Trawl, average, frozen, at landing/FR U;AGBL 1.4;2024-03-02 00:00:00;0.4
European perch;Perche;;;Small trout, 250-350g, conventional, at farm gate/FR U;AGBL 1.4;3;0.5
European pilchard or sardine;Sardine, à l'huile d'olive, appertisée, égouttée;European Pilchard, BBiscay, Seine, average, at landing/FR U;AGBL 1.4;;;5;0.5
European plaice;Carrelet ou plie;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;4;0.363
European sprat;Sprat;European Pilchard, BBiscay, Seine, average, at landing/FR U;AGBL 1.4;European Pilchard, ECA, Seine, average, at landing/FR U;AGBL 1.4;4;0.5
Freshwater bream;Brème;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;;;4;0.44
Garfish;Orphie commune;;;European Pilchard, BBiscay, Seine, average, at landing/FR U;AGBL 1.4;3;0.5
Gilthead seabream;Dorade royale ou daurade ou vraie daurade, élevage;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate/FR U;AGBL 1.4;;;5;0.44
Golden redfish;Grand sébaste, ou dorade sébaste, ou daurade sébaste;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;3;0.363
Greenland halibut;Flétan du Groënland ou flétan noir ou flétan commun;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;2024-03-02 00:00:00;0.363
Grenadier;Hoki, tout lieu de pêche;;;Gadidae, CelticSea, Bottom Trawl, average, at landing/FR U;AGBL 1.4;3;0.363
Grouper;Mérou;;;Bluefin Tuna, MedSea, Longline, average, at landing/FR U;AGBL 1.4;3;0.599
