Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
aides culinaires et ingrédients divers;sauces; 11168;11168;Sauce aïoli, préemballée;Aioli sauce (garlic and olive oil mayonnaise), prepacked;Aioli sauce (garlic and olive oil mayonnaise), prepacked;Aioli sauce (garlic and olive oil mayonnaise), prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 24664;24664;Gâteau aux amandes type financier;Almond cake;Almond cake;Almond cake, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18107;18107;Boisson à l'amande;Almond drink not sweet, not fortified, prepacked;Almond beverage;Almond beverage, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
fruits, légumes, légumineuses et oléagineux;fruits à coque et graines oléagineuses; 15201;15201;Pâte d'amande, préemballée;Almond paste or marzipan, prepacked;Almond paste or marzipan, prepacked;Almond paste or marzipan, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11167;11167;Sauce américaine, préemballée;American-style sauce, prepacked;Armorican-style sauce, prepacked;Armorican-style sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26000;26000;Anchois, filets à l'huile, semi-conserve, égoutté;Anchovy, fillets, in oil, semi-preserved, drained;Anchovy fillets, in olive oil, semi-preserved;Anchovy fillets, in olive oil, semi-preserved, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 25999;25999;Anchois, filets roulés aux câpres, semi-conserve, égoutté;Anchovy, fillets, rolled with capers, semi-preserved, drained;Anchovy, fillets, rolled with capers, semi-preserved;Anchovy, fillets, rolled with capers, semi-preserved, recipe, at plant {FR} U;Retailer for Agribalyse;
fruits, légumes, légumineuses et oléagineux;fruits; 13038;13038;Compote de pomme;Apple compote;Apple compote;Apple compote, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23493;23493;Crumble aux pommes;Apple crumble;Apple crumble;Apple crumble, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23481;23481;Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados);Apple pie with custard (flour, eggs, cream, sugar, apple alcohol);Peer tart with almonds;Peer tart with almonds, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23490;23490;Tarte ou tartelette aux pommes;Apple tart;Apple tart;Apple tart, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pains et viennoiseries; 23480;23480;Chausson aux pommes;Apple turnover;Apple turnover;Apple turnover, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 2043;2043;Nectar d'abricot;Apricot nectar;Apricot nectar;Apricot nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
produits céréaliers;gâteaux et pâtisseries; 23494;23494;Tarte aux abricots;Apricots tart;Apricots tart;Apricots tart, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11111;11111;Sauce armoricaine, préemballée;Armorican-style sauce, prepacked;Armorican-style sauce, prepacked;Armorican-style sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;aides culinaires; 11172;11172;Court-bouillon pour poissons, déshydraté;Aromatic stock cube, for fish, dehydrated;Aromatic stock cube, for fish;Aromatic stock cube, for fish, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pâtes, riz et céréales; 9085;9085;Nouilles asiatiques cuites, aromatisées;Asian noodles, flavoured, cooked;Asian noodles, flavoured, cooked;Asian noodles, flavoured, cooked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pâtes, riz et céréales; 9863;9863;Nouilles asiatiques aromatisées, déshydratées;Asian noodles, flavoured, dehydrated;Asian noodles, flavoured;Asian noodles, flavoured, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;pâtes, riz et céréales; 9086;9086;Nouilles asiatiques cuites, nature, non salées;Asian noodles, plain, cooked, unsalted;Asian noodles, plain, cooked, unsalted;Asian noodles, plain, cooked, unsalted, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;desserts infantiles; 13157;13157;Petit pot fruit avec banane pour bébé;Baby food jar with banana;Apple compote;Apple compote, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;petits pots salés et plats infantiles; 20247;20247;Petit pot légumes, avec féculent, dès 4/6 mois;Baby food jar with vegetables and starch, from 4-6 months;Vegetables (3-4 types), mashed;Vegetables (3-4 types), mashed, recipe, at plant {FR} U;Agribalyse - adapted from Marmiton;
aliments infantiles;petits pots salés et plats infantiles; 20246;20246;Petit pot légumes, dès 4-6 mois;Baby food jar with vegetables, from 4-6 months;Vegetables (3-4 types), mashed;Vegetables (3-4 types), mashed, recipe, at plant {FR} U;Agribalyse - adapted from Marmiton;
aliments infantiles;desserts infantiles; 13158;13158;Petit pot fruit sans banane pour bébé;Baby food jar without banana;Apple compote;Apple compote, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;laits et boissons infantiles; 3000_1;3000;Lait 1er âge, poudre soluble (préparation pour nourrissons);Baby milk, first age, powder, non rehydrated;Baby milk, powder;Baby milk, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles;3000_2;3000;Lait 1er âge, poudre soluble (préparation pour nourrissons), réhydratée chez le consommateur;Baby milk, first age, powder, rehydrated at consumer;Baby milk, powder;Baby milk, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 19013;19013;Lait 1er âge, prêt à consommer (préparation pour nourrissons);Baby milk, first milk, ready to feed;Baby milk, ready to feed;Baby milk, ready to feed, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 19014;19014;Lait 2e âge, prêt à consommer (préparation pour nourrissons);Baby milk, follow on milk, ready to feed;Baby milk, ready to feed;Baby milk, ready to feed, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles;19012_2;19012;Lait de croissance infantile, poudre (réhydratée chez le consommateur);Baby milk, growing up milk, powder, rehydrated with water at consumer step;Baby milk, powder;Baby milk, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles;19012_1;19012;Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge);Baby milk, growing up milk, ready to feed;Baby milk, ready to feed;Baby milk, ready to feed, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 3002_1;3002;Lait 2e âge, poudre soluble (préparation de suite);Baby milk, second age, powder, non rehydrated;Baby milk, powder;Baby milk, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;laits et boissons infantiles; 3002_2;3002;Lait 2e âge, poudre soluble (préparation de suite), réhydratée chez le consommateur;Baby milk, second age, powder, rehydrated at consumer;Baby milk, powder;Baby milk, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
produits céréaliers;pains et viennoiseries; 7258;7258;Bagel;Bagel;Bagel;Bagel, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;desserts glacés; 39518;39518;Omelette norvégienne;baked Alaska;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;ingrédients divers; 11046;11046;Levure chimique ou Poudre à lever;Baking powder or raising agent;Baking powder or raising agent;Baking powder or raising agent, recipe, at plant {FR} U;Agribalyse;
produits céréaliers;gâteaux et pâtisseries; 23300;23300;Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);Baklava (oriental pastry with almonds and syrup);Baklava (oriental pastry with almonds and syrup);Baklava (oriental pastry with almonds and syrup), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 2366;2366;Nectar de banane;Banana nectar;Banana nectar;Banana nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
aides culinaires et ingrédients divers;sauces; 11100;11100;Sauce barbecue, préemballée;Barbecue sauce, prepacked;Barbecue sauce, prepacked;Barbecue sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23803;23803;Gâteau basque, cerises;Basque cake (shortbread), with cherries;Basque cake (shortbread), with custard;Basque cake (shortbread), with custard, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23802;23802;Gâteau basque, crème pâtissière;Basque cake (shortbread), with custard;Basque cake (shortbread), with custard;Basque cake (shortbread), with custard, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11170;11170;Sauce basquaise ou Sauce aux poivrons, préemballée;Basque-style sauce or tomato sauce with sweet peppers, prepacked;Basque-style sauce or tomato sauce with sweet peppers, prepacked;Basque-style sauce or tomato sauce with sweet peppers, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11102;11102;Sauce béarnaise, préemballée;Bearnaise sauce, prepacked;Bearnaise sauce, prepacked;Bearnaise sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11143;11143;Sauce béchamel, maison;Bechamel sauce, home-made;Bechamel sauce, home-made;Bechamel sauce, home-made, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11101;11101;Sauce béchamel, préemballée;Bechamel sauce, prepacked;Bechamel sauce, prepacked;Bechamel sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;feuilletées et autres entrées; 25108;25108;Samossas ou Samoussas;Beef samosas or samoosas;Beef samosas or samoosas;Beef samosas or samoosas, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25065;25065;Boeuf aux carottes;Beef stew with carrots;Beef stew with carrots;Beef stew with carrots, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;autres produits à base de viande; 25163;25163;Boeuf, boulettes cuites;Beef, meat balls, cooked;Beef, meat balls, cooked;Beef, meat balls, cooked, recipe, at plant {FR} U;Agribalyse;
glaces et sorbets;desserts glacés; 39519;39519;Poire belle Hélène;Belle Helene pear dessert (cooked pear topped with hot chocolate sauce on a bed of vanilla ice cream);Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24037;24037;Biscuit sec fourré à la pâte ou purée de fruits;Biscuit (cookie) filled with fruit paste or fruit puree;Biscuit (small tart), with fruit covering;Biscuit (small tart), with fruit covering, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24008;24008;Biscuit sec fourré aux fruits, allégé en matière grasse;Biscuit (cookie) filled with fruits, reduced fat;Biscuit (small tart), with fruit covering;Biscuit (small tart), with fruit covering, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24003;24003;Biscuit sec à teneur garantie en vitamines et minéraux;Biscuit (cookie) vitamins and chemical elements content guaranteed;Biscuit (cookie), plain;Biscuit (cookie), plain, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24002;24002;Biscuit sec à teneur garantie en vitamines;Biscuit (cookie) vitamins content guaranteed;Biscuit (cookie), sponge fingers or Lady fingers;Biscuit (cookie), sponge fingers or Lady fingers, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 24004;24004;Biscuit sec aux fruits, hyposodé;Biscuit (cookie) with fruits, reduced salt;Biscuit (small tart), with fruit covering;Biscuit (small tart), with fruit covering, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
