Nom du Produit en Français;LCI Name;Type de production;Catégorie;Score unique EF3.1 (mPt/kg);Changement climatique (kg CO2 eq/kg);Appauvrissement de la couche d'ozone (kg CFC11 eq/kg);Rayonnements ionisants (kBq U-235 eq/kg);Formation photochimique d’ozone (kg NMVOC eq/kg);Particules (disease inc./kg);Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg);Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg);Acidification terrestre et eaux douces (mol H+ eq/kg);Eutrophisation eaux douces (kg P eq/kg);Eutrophisation marine (kg N eq/kg);Eutrophisation terrestre (mol N eq/kg);Écotoxicité pour écosystèmes aquatiques d’eau douce (CTUe/kg);Utilisation du sol (Pt/kg);Épuisement des ressources en eau (m³ depriv./kg);Épuisement des ressources énergétiques (MJ/kg);Épuisement des ressources en minéraux (kg Sb eq/kg);Changement climatique - émissions biogéniques (kg CO2 eq/kg);Changement climatique - émissions fossiles (kg CO2 eq/kg);Changement climatique - émissions liées au changement d’affectation des sols (kg CO2 eq/kg)
Truie de réforme, biologique, système numéro 4, à la ferme, France;Cull sow, organic, system number 4, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;7.0587152;70.231681;2.121094e-07;5.6832831;0.079190192;7.5017937e-06;8.1708457e-07;3.1598771e-08;0.9769778;0.007560935;0.34650522;4.658573;103.30789999999999;4673.0348;5.8299724;209.98329;0.00011056548;29.125222;36.248412;4.8580466
Truie de réforme, biologique, système numéro 2, à la ferme, France;Cull sow, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;4.8877956;31.385865;2.1501027e-07;1.2796947;0.079068711;4.9843211e-06;3.5594559e-07;2.5225711e-08;0.62574084;0.0086131616;0.38660653;3.1191628;142.030079;6615.2074;4.0413685;134.94533;7.789318e-05;5.5632099;20.178466;5.6441894
Truie de réforme, biologique, en intérieur, à la ferme, France;Cull sow, organic, indoor system, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;3.6259778000000003;40.834343;1.3920603e-07;2.8468585;0.041221566;3.5777252e-06;3.4747747e-07;1.4103096e-08;0.47209465;0.0038860149;0.16693169;2.2152485;49.972623;2552.8387;3.1679315;116.55524;4.2596771e-05;19.513878;18.436035;2.8844304
Truie de réforme, biologique, moyenne nationale (50% intérieur, 50% extérieur), à la ferme, France;Cull sow, organic, national average, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;3.1093963000000002;28.614799;1.3352492e-07;2.7225401;0.034090403;3.192769e-06;3.2948798e-07;1.3926375e-08;0.41450462;0.0038638471;0.18341538;1.95663;46.50326;2545.928;3.1487856;111.31451;4.035031e-05;11.278253;14.452191;2.8843549
Truie de réforme, biologique, en extérieur, à la ferme, France;Cull sow, organic, outdoor system, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;2.5928148;16.395254;1.2784381e-07;2.5982216;0.026959241;2.8078129e-06;3.1149849e-07;1.3749653e-08;0.35691459;0.0038416793;0.19989907;1.6980116;43.033896;2539.0174;3.1296397;106.07379;3.8103848e-05;3.0426278;10.468347;2.8842794
Agneau, biologique, système numéro 3, à la ferme, France;Lamb, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;2.5255695;14.918371;4.4798795e-08;0.17789455;0.026828989;2.0585783e-06;4.0880905e-07;1.8044848e-08;0.29326514;0.0018816095;0.20395994;1.3587211;26.2761091;6925.8983;1.4521149;20.211618;1.2552436e-05;15.629234;4.8028403;-5.5137029
Truie de réforme, biologique, système numéro 3, à la ferme, France;Cull sow, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;2.0876679;11.196892;6.9945354e-08;0.57993741;0.029360252;1.9069012e-06;2.5056673e-07;1.0442538e-08;0.24466603;0.0024310002;0.14056746;1.1998429;31.5571961;5208.6471;1.8247792;46.523025;2.5262117e-05;2.5020908;7.0457496;1.6490521
Truie de réforme, biologique, système numéro 1, à la ferme, France;Cull sow, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Porcine\Transformation;1.9663431999999998;10.762305;6.8209174e-08;0.48146272;0.02381302;1.7781823e-06;2.1965239e-07;8.8807275e-09;0.2324589;0.0023753889;0.13652048;1.1403487;32.1916082;4892.7758;1.1026547;37.462729;2.9240593e-05;2.320921;6.5022906;1.9390929
Vache allaitante de réforme, biologique, vache allaitante système numéro 3, à la ferme, France;Suckler cull cow, organic, suckler cow system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Bovine\Transformation;1.8488095;22.228868;4.5365117e-08;0.42703305;0.022340447;1.8906013e-06;2.1543133e-07;5.8895631e-09;0.26211111;0.00065932928;0.057178333;1.216059;32.354854;1509.7979;1.3631527;29.284637;2.0695944e-05;17.329419;4.8675373;0.031912264
Brebis Réforme, biologique, système numéro 3, à la ferme, France;Cull ewe, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Ovine\Transformation;1.8449134;9.2070101;1.7231338e-08;0.055848983;0.01871681;1.1374269e-06;3.4985357e-07;1.5622588e-08;0.16740943;0.0013860112;0.18764639;0.76977621;14.965308199999999;6657.9657;0.22379257;8.0188259;5.3870617e-06;12.580037;2.7320345;-6.1050609
